 -0.1150000000000000E+02, -0.7607035958674500E-01, -0.4347791948322685E-05,  0.1000000000000000E+03,
 -0.1139999961853027E+02, -0.7607036382876810E-01, -0.4380147935956058E-05,  0.5000000000000000E+01,
 -0.1130000019073486E+02, -0.7607036812974405E-01, -0.4413925157184492E-05,  0.7000000000000000E+03,
 -0.1119999980926514E+02, -0.7607037249090257E-01, -0.4449216517465005E-05,  0.2500000000000000E+03,
 -0.1110000038146973E+02, -0.7607037691351580E-01, -0.4486123127008205E-05,  0.1000000000000000E+01,
 -0.1100000000000000E+02, -0.7607038139890142E-01, -0.4524755221006888E-05,  0.0000000000000000E+00,
 -0.1089999961853027E+02, -0.7607038594842447E-01, -0.4565233205618250E-05,  0.0000000000000000E+00,
 -0.1080000019073486E+02, -0.7607039056350352E-01, -0.4607688850849859E-05,  0.0000000000000000E+00,
 -0.1069999980926514E+02, -0.7607039524560884E-01, -0.4652266654564229E-05,  0.0000000000000000E+00,
 -0.1060000038146973E+02, -0.7607039999627122E-01, -0.4699125406701095E-05,  0.4001931731314097-321,
 -0.1050000000000000E+02, -0.7607040481708163E-01, -0.4748439988997488E-05,  0.0000000000000000E+00,
 -0.1039999961853027E+02, -0.7607040970969960E-01, -0.4800403452749011E-05,  0.1031312629129018-315,
 -0.1030000019073486E+02, -0.7607041467585340E-01, -0.4855229425238624E-05,  0.5000000000000000E+01,
 -0.1019999980926514E+02, -0.7607041971735017E-01, -0.4913154907950332E-05,  0.1000000000000000E+01,
 -0.1010000038146973E+02, -0.7607042483607869E-01, -0.4974443541799219E-05,  0.7000000000000000E+01,
 -0.1000000000000000E+02, -0.7607043003401739E-01, -0.5039389433707409E-05,  0.0000000000000000E+00,
 -0.9899999618530273E+01, -0.7607043531323950E-01, -0.5108321659519581E-05,  0.0000000000000000E+00,
 -0.9800000190734863E+01, -0.7607044067592492E-01, -0.5181609587111744E-05,  0.0000000000000000E+00,
 -0.9699999809265137E+01, -0.7607044612436623E-01, -0.5259669198759909E-05,  0.0000000000000000E+00,
